ligand_id,smiles,source,mol_weight,heavy_atoms,logp,hbd,hba,tpsa
CHEMBL153534,Cc1cc(-c2csc(N=C(N)N)n2)cn1C,ChEMBL37_chemreps,235.316,16,1.362,2,4,82.22
CHEMBL405398,Brc1cccc(Nc2ncnc3ccncc23)c1NCCN1CCOCC1,ChEMBL37_chemreps,429.322,27,3.275,2,7,75.2
CHEMBL503634,COc1c(O)cc(O)c(C(=N)Cc2ccc(O)cc2)c1O,ChEMBL37_chemreps,289.287,21,2.128,5,6,114.0
CHEMBL503643,CCOC(=O)c1cc2cc(C(=O)O)ccc2[nH]1,ChEMBL37_chemreps,233.223,17,2.043,2,3,79.39
CHEMBL403325,C[C@H]1CN(CCC(=O)N[C@@H](CCc2ccccc2)C(=O)O)CC[C@@]1(C)c1cccc(O)c1,ChEMBL37_chemreps,438.568,32,3.584,3,4,89.87
CHEMBL155287,O=C(NO)c1ccc(I)cc1,ChEMBL37_chemreps,263.034,11,1.41,2,2,49.33
CHEMBL265174,C=CCc1ccc(OC(=O)C23CC4CC(CC(C4)C2)C3)c(OC)c1,ChEMBL37_chemreps,326.436,24,4.546,0,3,35.53
CHEMBL264472,Cc1cccc(N2CCN(CCCON3C(=O)c4ccccc4C3=O)CC2)c1,ChEMBL37_chemreps,379.46,28,2.735,0,5,53.09
CHEMBL405225,N=c1sc2ccccc2n1CCN1CCC(c2ccc(F)cc2)CC1,ChEMBL37_chemreps,355.482,25,4.201,1,4,32.02
CHEMBL499520,O=C(Nc1ncc(F)s1)[C@H](CC1CCOCC1)c1ccc(S(=O)(=O)C2CC2)cc1,ChEMBL37_chemreps,438.546,29,3.757,1,6,85.36
CHEMBL1082532,Oc1ccc(/N=C(/Cc2ccc(Cl)cc2)c2ccc(O)c(O)c2O)cc1,ChEMBL37_chemreps,369.804,26,4.526,4,5,93.28
CHEMBL501922,COC(=O)C[C@H]1C(C)(C)[C@H](OC(C)=O)[C@H]2C(=O)[C@]1(C)[C@H]1CC[C@]3(C)[C@@H](CC(=O)O[C@H]3c3ccoc3)[C@]13O[C@H]23,ChEMBL37_chemreps,528.598,38,3.794,0,9,121.64
CHEMBL501101,O=S(=O)(CCO)c1no[n+]([O-])c1-c1ccccc1,ChEMBL37_chemreps,270.266,18,-0.259,1,6,107.34
CHEMBL505943,CNc1nc2sc(SC)nc2c2c1ncn2C,ChEMBL37_chemreps,265.367,17,2.342,1,7,55.63
CHEMBL264137,CC(=O)OC[C@]12[C@H](OC(C)=O)C(=O)[C@@H]3[C@@H](O)[C@]1(OC3(C)C)[C@](C)(O)C[C@H](OC(C)=O)[C@@H]2OC(C)=O,ChEMBL37_chemreps,500.497,35,-0.407,2,12,171.96
