ligand_id,docked_conformation_count,ensemble_best_score_kcal_mol,ensemble_mean_score_kcal_mol,ensemble_median_score_kcal_mol,ensemble_score_std_kcal_mol,enopt_style_weighted_score_kcal_mol,smiles,source,mol_weight,heavy_atoms,logp,hbd,hba,tpsa
CHEMBL3311247,5,-14.48,-13.146,-13.05,1.2488915084986365,-13.16386602689539,O=C(c1cccc(C(=O)c2cccc(-c3nnn4ccccc34)n2)n1)c1cccc(-c2nnn3ccccc23)n1,ChEMBL37_chemreps,523.516,40,3.753,0,11,133.19
CHEMBL16965,5,-13.35,-12.888,-12.96,0.5530551509569366,-12.896029937342574,Nc1nc(NCc2cccc(CNS(=O)(=O)c3cccc4ccccc34)c2)nc2ccccc12,ChEMBL37_chemreps,469.57,34,4.456,3,6,110.0
CHEMBL36113,5,-13.71,-12.772,-13.04,1.0595612299437915,-12.787322183683113,O=c1cc(-c2nn[nH]n2)oc2cc(/C=C/c3cccc(OCc4ccc5ccccc5n4)c3)ccc12,ChEMBL37_chemreps,473.492,36,5.271,1,7,106.79
CHEMBL4436402,5,-13.65,-12.738,-13.21,1.065161959516017,-12.754024231759079,c1cc(C/N=C2\C3C4CC5C6C4C2C6C2(OCCO2)C53)ccc1C/N=C1/C2C3CC4C5C3C1C5C1(OCCO1)C42,ChEMBL37_chemreps,536.672,40,3.83,0,6,61.64
CHEMBL33607,5,-13.48,-12.706,-13.1,1.0067174380132689,-12.720623380789984,O=c1cc(-c2cccc(/C=C/c3ccc4ccccc4n3)c2)oc2ccc(-c3nn[nH]n3)cc12,ChEMBL37_chemreps,443.466,34,5.359,1,6,97.56
CHEMBL12018,5,-13.91,-12.628,-12.96,1.022800078216657,-12.640911287656914,O=C(/C=C/c1cccc(/C=C/c2ccc3ccccc3n2)c1)c1cc(-c2nn[nH]n2)ccc1O,ChEMBL37_chemreps,445.482,34,5.187,2,6,104.65
CHEMBL12143,5,-13.25,-12.620000000000001,-12.71,0.6867677919064052,-12.629516586415715,O=C(/C=C/c1cccc(/C=C/c2ccc3ccccc3n2)c1)c1cc(Cl)cc(-c2nn[nH]n2)c1O,ChEMBL37_chemreps,479.927,35,5.84,2,6,104.65
CHEMBL26449,5,-13.43,-12.604000000000001,-12.76,0.9511203919588727,-12.616314217298553,CCCCc1nc2cc(C3=NN(Cc4ccc(-c5ccccc5-c5nn[nH]n5)cc4)C(=O)CC3C)ccc2[nH]1,ChEMBL37_chemreps,518.625,39,5.525,2,6,115.81
CHEMBL11778,5,-13.33,-12.558000000000002,-12.97,1.0550450227359964,-12.570762122618756,O=C(/C=C/c1cccc(OCc2ccc3ccccc3c2)c1)c1cc(-c2nn[nH]n2)ccc1O,ChEMBL37_chemreps,448.482,34,5.201,2,6,100.99
CHEMBL21788,5,-13.67,-12.55,-12.48,1.0134840896629806,-12.563964398723856,COc1ccccc1N1CCN(C(=O)CCc2c3n(c4ccc(C)cc24)C(=O)c2ccccc2-3)CC1,ChEMBL37_chemreps,479.58,36,4.909,0,5,54.78
